Name,Lat,Long,cfr
  Brunel,21.9162,95.956,0.0143373825599599
  Brunei,4.5353,114.7277,0.0260205865658845
  Cambodia,12.5657,104.991,0
  Indonesia,0.7893,113.9213,0.0601542647283039
  Laos,19.8563,102.4955,0
  Malaysia,4.2105,101.9758,0.0141211687243725
  Philippines,12.8797,121.774,0.0485632043775101
  Singapore,1.3521,103.8198,0.000679508405864308
  Thailand,15.87,100.9925,0.0187860121137193
  Vietnam,14.0583,108.2772,0
